experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,n,final_hr@1_mean,final_hr@1_std,final_hr@3_mean,final_hr@3_std,final_acc@1_mean,final_acc@1_std,final_acc@3_mean,final_acc@3_std,early_hr@1_mean,early_hr@1_std,early_acc@1_mean,early_acc@1_std,late_hr@1_mean,late_hr@1_std,late_acc@1_mean,late_acc@1_std,final_mal_reputation_mean,final_mal_reputation_std,final_honest_target_reputation_mean,final_honest_target_reputation_std,final_mal_effective_trust_mean,final_mal_effective_trust_std,final_honest_target_effective_trust_mean,final_honest_target_effective_trust_std
cold_start_sweep,gis,3,Full TASR,50,0.9,5,0.0724,0.007668115805072325,0.212,0.01224744871391589,0.9212,0.008786353054595526,0.978,0.012727922061357866,0.362,0.03834057902536162,0.606,0.043931765272977596,0.0,0.0,1.0,0.0,0.12460286983196994,0.016728640524471258,0.5042054826829484,0.08306938195592573,0.05565445110684719,0.005045921822061174,0.2670862846446745,0.0428823959604366
cold_start_sweep,gis,3,Full TASR,50,1.0,5,0.07200000000000001,0.003999999999999997,0.204,0.015748015748023623,0.9072,0.009757048734120383,0.9716,0.00638748776906853,0.36,0.020000000000000004,0.536,0.04878524367060188,0.0,0.0,1.0,0.0,0.1257043810022297,0.021371337167915838,0.4570784413512013,0.04283129577312542,0.05870381722115711,0.00744364097476424,0.2633898471859898,0.02630913980409512
cold_start_sweep,physics,1,Full TASR,50,0.5,5,0.056799999999999996,0.011099549540409285,0.1472,0.002280350850198278,0.9431999999999999,0.011099549540409257,1.0,0.0,0.284,0.05549774770204642,0.716,0.05549774770204644,0.0,0.0,1.0,0.0,0.07724936865089126,0.012091432036218342,1.0,0.0,0.030285922075979577,0.0008414393578319263,0.37782049052301303,0.045850400276618596
cold_start_sweep,physics,1,Full TASR,50,0.9,5,0.0564,0.01283744522870497,0.1412,0.005019960159204443,0.938,0.009899494936611623,0.9968,0.001095445115010333,0.282,0.06418722614352484,0.69,0.049497474683058325,0.0,0.0,1.0,0.0,0.08296103988355621,0.01722706410044259,1.0,0.0,0.035826298242948015,0.00027432871616090934,0.41809774810363487,0.058457953259475275
cold_start_sweep,physics,1,Full TASR,50,1.0,5,0.0524,0.010526157893552615,0.1316,0.00638748776906853,0.9252,0.009959919678390954,0.9868,0.00268328157299975,0.262,0.05263078946776307,0.64,0.05431390245600109,0.0,0.0,1.0,0.0,0.08625060799604643,0.013790398902322445,1.0,0.0,0.036193291533493016,0.000818504919492938,0.4280479917850671,0.09778810211611194
cold_start_sweep,physics,3,Full TASR,50,0.5,5,0.0668,0.011366617790706256,0.2444,0.009423375191511795,0.9332,0.011366617790706215,1.0,0.0,0.334,0.05683308895353129,0.666,0.056833088953531286,0.0,0.0,1.0,0.0,0.07607277610574777,0.010844668405916484,1.0,0.0,0.02921072241953304,0.0013905508471930197,0.40028158988111273,0.09525600925869764
cold_start_sweep,physics,3,Full TASR,50,0.9,5,0.0964,0.007402702209328701,0.2424,0.012521980673998822,0.8784,0.019204166214652502,0.9468,0.02287356552879324,0.482,0.0370135110466435,0.408,0.08642916174532762,0.0,0.0,1.0,0.0,0.0797770218473243,0.01143548448148753,0.9918,0.01833575741549824,0.034650554548908065,0.0015096190520208868,0.46600642667055564,0.12186625762036968
cold_start_sweep,physics,3,Full TASR,50,1.0,5,0.0812,0.009444575162494072,0.242,0.022583179581272442,0.8764,0.020366639388961567,0.9404,0.016577092628081637,0.406,0.04722287581247038,0.412,0.10134100848126587,0.0,0.0,1.0,0.0,0.0822627709848791,0.011898045848948813,1.0,0.0,0.0376780432479955,0.0019153362249654479,0.4126364486840262,0.09095257044715935
online,gaming,1,Full TASR,50,0.7,5,0.0036,0.00589915248150105,0.0528,0.04557630963559907,0.9628,0.019162463307205554,0.99,0.007615773105863915,0.018000000000000002,0.029495762407505257,0.9359999999999999,0.03361547262794319,0.0,0.0,0.998,0.004472135954999583,0.19080030038954537,0.02237477022990989,0.31095401999527345,0.03424320756412383,0.07250635109894336,0.01224475266897143,0.10403985734135539,0.011046350900009931
online,gaming,1,No Defense,50,0.7,5,0.20879999999999999,0.01616168308066954,0.2672,0.02184490787346103,0.646,0.025099800796022243,0.9272,0.004604345773288539,0.20199999999999999,0.0496990945591567,0.6759999999999999,0.05504543577809154,0.202,0.016431676725154987,0.672,0.027748873851023183,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
