experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_acc@1_mean,cumulative_acc@1_std,mal_effective_trust_mean,mal_effective_trust_std,honest_target_effective_trust_mean,honest_target_effective_trust_std,mal_reputation_mean,mal_reputation_std,honest_target_reputation_mean,honest_target_reputation_std
cold_start_sweep,gaming,1,Full TASR,50,0.9,1,1,50,5,0.044,0.03577708763999664,0.052000000000000005,0.038987177379235856,0.876,0.035777087639996666,0.964,0.008944271909999166,0.044,0.03577708763999664,0.876,0.035777087639996666,0.9105840998265029,0.00538870895240019,0.9480180168614316,0.0005258956989184206,1.0,0.0,1.0,0.0
cold_start_sweep,gaming,1,Full TASR,50,0.9,2,51,100,5,0.0,0.0,0.068,0.010954451150103324,0.852,0.09121403400793107,0.948,0.05019960159204453,0.022,0.01788854381999832,0.864,0.05594640292279746,0.5441924697156445,0.041060339617514194,0.6221924009445917,0.019200818159394922,0.7484400000000001,0.04346916148259589,0.8324866414566617,0.017204627917049783
cold_start_sweep,gaming,1,Full TASR,50,0.9,3,101,150,5,0.0,0.0,0.04,0.01414213562373095,0.88,0.06324555320336757,0.948,0.022803508501982747,0.014666666666666668,0.01192569587999888,0.8693333333333333,0.03608631627393163,0.4084911198853065,0.01917976869417742,0.49006334514113337,0.0324486812631658,0.6377816880000001,0.04417668976062732,0.7870441195177308,0.0386478320926462
cold_start_sweep,gaming,1,Full TASR,50,0.9,4,151,200,5,0.0,0.0,0.04,0.01414213562373095,0.992,0.017888543819998333,1.0,0.0,0.011,0.00894427190999916,0.9,0.02715695122800056,0.2997829319166391,0.013004444659201852,0.4076346101722606,0.018615236828017783,0.5187714465600001,0.03797348809465813,0.7294065578549658,0.012350333230802956
cold_start_sweep,gaming,1,Full TASR,50,0.9,5,201,250,5,0.0,0.0,0.028,0.010954451150103323,0.988,0.0268328157299975,1.0,0.0,0.0088,0.007155417527999327,0.9176000000000001,0.021279097725232638,0.23730679239296137,0.013168554811648345,0.29754630792314274,0.03574013439364067,0.4374235601136001,0.00952537468780581,0.6264932586367672,0.02214609694012243
cold_start_sweep,gaming,1,Full TASR,50,0.9,6,251,300,5,0.0,0.0,0.04,0.0,0.956,0.07668115805072327,0.98,0.04472135954999579,0.007333333333333334,0.00596284793999944,0.924,0.021134489978863157,0.18232828049515093,0.013569321508774266,0.22849782682195866,0.01749351195408771,0.36398681833415053,0.02705255350830561,0.5465312408445255,0.024300944325122458
cold_start_sweep,gaming,1,Full TASR,50,0.9,7,301,350,5,0.0,0.0,0.024,0.016733200530681513,0.984,0.03577708763999662,0.996,0.008944271909999166,0.006285714285714286,0.005111012519999519,0.9325714285714286,0.018024926052099995,0.1479909589666578,0.00320421852195685,0.1856012284115755,0.009245449572580437,0.3139115175777027,0.019457561588478528,0.4939498148655121,0.042783547476040754
cold_start_sweep,gaming,1,Full TASR,50,0.9,8,351,400,5,0.0,0.0,0.036000000000000004,0.00894427190999916,0.992,0.017888543819998333,0.996,0.008944271909999166,0.0055,0.00447213595499958,0.9400000000000001,0.01457737973711325,0.11467783880526919,0.00725399319971544,0.14552341614827005,0.009245329541606924,0.25935206089459717,0.007316139567672221,0.4151117027343932,0.03566108207984952
cold_start_sweep,gaming,1,Full TASR,50,0.9,9,401,450,5,0.0,0.0,0.036000000000000004,0.00894427190999916,0.996,0.008944271909999166,1.0,0.0,0.004888888888888889,0.003975231959999626,0.9462222222222222,0.013090379088909435,0.09105229694360273,0.0074613306503630615,0.13081068223070347,0.009086234273732747,0.21483537229865202,0.014057463459286452,0.3872387583402457,0.03545189981252395
cold_start_sweep,gaming,1,Full TASR,50,0.9,10,451,500,5,0.0,0.0,0.028,0.010954451150103323,0.956,0.03286335345030997,0.984,0.016733200530681527,0.0044,0.0035777087639996636,0.9471999999999999,0.009121403400793112,0.07818420380000468,0.004581207649092334,0.09337245200359648,0.00512688937782577,0.19038700276662385,0.01726325069730924,0.27455491985699704,0.014810381555998092
